time,client_id,temperature,humidity
2019-07-02 20:09:10,node00,32.80,76.00
2019-07-02 20:14:11,node00,33.08,73.00
2019-07-02 20:24:14,node00,31.62,72.62
2019-07-02 20:30:59,node00,27.50,50.00
2019-07-02 20:33:00,node00,25.00,57.00
2019-07-02 20:38:01,node00,23.37,64.94
2019-07-02 20:43:02,node00,23.59,68.75
2019-07-02 20:48:04,node00,23.38,70.44
2019-07-02 20:53:05,node00,23.28,70.00
2019-07-02 20:58:07,node00,23.17,71.31
2019-07-02 21:03:08,node00,23.80,72.75
2019-07-02 21:08:10,node00,25.11,72.00
2019-07-02 21:13:15,node00,25.71,73.37
2019-07-02 21:18:17,node00,26.11,75.62
2019-07-02 21:23:18,node00,24.71,68.06
2019-07-02 21:28:19,node00,23.32,63.56
2019-07-02 21:33:21,node00,22.66,60.75
2019-07-02 21:38:22,node00,22.61,62.56
2019-07-02 21:43:24,node00,22.30,60.38
2019-07-02 21:48:25,node00,22.06,60.50
2019-07-02 21:50:40,node00,23.43,62.13
2019-07-02 22:11:14,node00,24.06,66.19
2019-07-02 22:16:16,node00,22.86,64.12
2019-07-02 22:21:17,node00,22.29,67.00
2019-07-02 22:26:19,node00,22.89,76.19
2019-07-02 22:31:20,node00,23.56,75.75
2019-07-02 22:36:21,node00,23.21,74.50
2019-07-02 22:41:23,node00,23.43,72.37
2019-07-02 22:46:24,node00,22.67,68.00
2019-07-02 22:51:26,node00,21.97,61.81
2019-07-02 22:56:27,node00,21.43,57.62
2019-07-02 23:01:29,node00,21.44,54.63
2019-07-02 23:06:30,node00,21.33,55.25
2019-07-02 23:11:31,node00,23.17,65.69
2019-07-02 23:16:33,node00,24.04,72.00
2019-07-02 23:21:34,node00,24.24,73.81
2019-07-02 23:26:36,node00,24.25,73.37
2019-07-02 23:31:37,node00,24.79,74.44
2019-07-02 23:36:38,node00,24.74,76.50
2019-07-02 23:41:40,node00,24.64,77.81
2019-07-02 23:46:41,node00,24.59,76.12
2019-07-02 23:51:43,node00,24.74,75.81
2019-07-02 23:56:44,node00,24.32,74.87
2019-07-03 00:01:46,node00,24.46,74.56
2019-07-03 00:06:47,node00,24.52,73.69
2019-07-03 00:11:48,node00,24.81,74.56
2019-07-03 00:16:50,node00,24.73,74.69
2019-07-03 00:21:51,node00,24.82,75.87
2019-07-03 00:26:52,node00,25.01,76.31
2019-07-03 00:29:53,node00,23.60,75.00
2019-07-03 00:34:55,node00,24.71,73.19
2019-07-03 00:39:56,node00,24.67,74.69
2019-07-03 00:44:58,node00,24.81,75.19
2019-07-03 00:49:59,node00,24.79,76.37
2019-07-03 00:55:00,node00,24.69,76.75
2019-07-03 01:00:02,node00,24.61,76.00
2019-07-03 01:05:03,node00,24.52,75.75
2019-07-03 01:10:05,node00,24.45,74.00
2019-07-03 01:15:06,node00,24.76,72.69
2019-07-03 01:20:07,node00,24.82,74.44
2019-07-03 01:25:09,node00,24.89,76.56
2019-07-03 01:30:10,node00,24.78,76.50
2019-07-03 01:35:11,node00,24.52,76.31
2019-07-03 01:40:13,node00,24.53,75.81
2019-07-03 01:45:14,node00,24.42,74.62
2019-07-03 01:50:16,node00,24.77,74.25
2019-07-03 01:55:17,node00,24.85,75.31
2019-07-03 02:00:19,node00,24.77,77.50
2019-07-03 02:05:20,node00,24.94,76.87
2019-07-03 02:10:21,node00,24.66,76.25
2019-07-03 02:15:23,node00,24.42,75.37
2019-07-03 02:20:24,node00,24.63,73.94
2019-07-03 02:25:26,node00,24.37,72.56
2019-07-03 02:30:27,node00,23.06,65.31
2019-07-03 02:35:28,node00,22.18,58.81
2019-07-03 02:40:30,node00,21.76,54.50
2019-07-03 02:45:31,node00,21.47,51.63
2019-07-03 02:50:33,node00,21.21,50.50
2019-07-03 02:55:34,node00,20.44,52.13
2019-07-03 03:00:35,node00,20.39,53.63
2019-07-03 03:05:37,node00,20.36,53.94
2019-07-03 03:08:38,node00,20.10,53.00
2019-07-03 03:13:39,node00,19.96,54.00
2019-07-03 03:18:41,node00,19.88,54.00
2019-07-03 03:23:42,node00,20.33,56.88
2019-07-03 03:28:43,node00,22.39,66.56
2019-07-03 03:33:45,node00,23.36,71.06
2019-07-03 03:38:46,node00,23.62,73.12
2019-07-03 03:43:48,node00,23.25,72.87
2019-07-03 03:48:49,node00,23.12,72.56
2019-07-03 03:53:50,node00,23.31,72.00
2019-07-03 03:58:52,node00,23.44,71.37
2019-07-03 04:03:53,node00,23.36,70.94
2019-07-03 04:08:55,node00,23.51,70.19
2019-07-03 04:13:56,node00,23.54,69.69
2019-07-03 04:18:57,node00,23.67,70.56
2019-07-03 06:33:02,node00,27.10,82.00
2019-07-03 06:17:14,node00,24.70,76.00
2019-07-03 19:31:01,node00,24.46,71.62
2019-07-03 19:36:02,node00,23.24,74.25
2019-07-03 19:41:03,node00,24.03,76.75
2019-07-03 19:46:05,node00,23.92,73.81
2019-07-03 19:51:06,node00,23.45,72.19
2019-07-03 19:56:08,node00,24.24,71.19
2019-07-03 20:01:09,node00,23.84,71.69
2019-07-03 20:06:10,node00,24.20,70.75
