time,client_id,sensorReading
2019-07-13 20:58:01,node01,DoorOpened
2019-07-13 21:02:36,node01,DoorClosed
2019-07-13 21:03:20,node01,DoorOpened
2019-07-13 21:03:21,node01,DoorClosed
2019-07-13 21:03:23,node01,DoorOpened
2019-07-13 21:05:09,node01,DoorClosed
2019-07-13 21:12:27,node01,DoorOpened
2019-07-13 21:13:27,node01,DoorClosed
2019-07-13 21:16:37,node01,DoorOpened
2019-07-13 21:32:42,node01,DoorClosed
2019-07-13 21:42:33,node01,DoorOpened
2019-07-13 21:43:43,node01,DoorClosed
2019-07-13 22:13:45,node01,DoorOpened
2019-07-13 22:13:58,node01,DoorClosed
2019-07-14 21:14:36,node01,DoorOpened
2019-07-14 21:15:26,node01,DoorClosed
2019-07-14 21:15:34,node01,DoorOpened
2019-07-14 21:15:39,node01,DoorClosed
2019-07-14 21:15:42,node01,DoorOpened
2019-07-14 21:15:58,node01,DoorClosed
2019-07-14 21:29:38,node01,DoorOpened
2019-07-14 21:34:27,node01,DoorClosed
2019-07-14 22:17:40,node01,DoorOpened
2019-07-14 22:17:41,node01,DoorClosed
2019-07-14 22:17:44,node01,DoorOpened
2019-07-14 22:17:47,node01,DoorClosed
2019-07-14 22:17:50,node01,DoorOpened
2019-07-14 22:18:01,node01,DoorClosed
2019-07-14 22:51:41,node01,DoorOpened
2019-07-14 23:05:51,node01,DoorClosed
2019-07-14 23:06:24,node01,DoorOpened
2019-07-14 23:09:59,node01,DoorClosed
2019-07-14 23:10:06,node01,DoorOpened
2019-07-14 23:12:36,node01,DoorClosed
2019-07-14 23:12:41,node01,DoorOpened
2019-07-14 23:12:49,node01,DoorClosed
2019-07-14 23:13:56,node01,DoorOpened
2019-07-14 23:22:55,node01,DoorClosed
2019-07-15 01:16:59,node01,DoorOpened
2019-07-15 01:16:59,node01,DoorClosed
2019-07-15 09:11:09,node01,DoorOpened
2019-07-15 09:11:16,node01,DoorClosed
2019-07-15 10:46:53,node01,DoorOpened
2019-07-15 10:47:16,node01,DoorClosed
2019-07-15 11:09:40,node01,DoorClosed
2019-07-15 13:58:16,node01,DoorOpened
2019-07-15 13:58:18,node01,DoorClosed
2019-07-15 13:58:18,node01,DoorOpened
2019-07-15 13:58:33,node01,DoorClosed
2019-07-15 13:58:45,node01,DoorOpened
2019-07-15 13:59:06,node01,DoorClosed
2019-07-15 14:14:51,node01,DoorOpened
2019-07-15 14:15:11,node01,DoorClosed
2019-07-15 16:35:21,node01,DoorOpened
2019-07-15 16:35:26,node01,DoorClosed
2019-07-15 16:42:50,node01,DoorOpened
2019-07-15 16:42:56,node01,DoorClosed
2019-07-15 18:32:07,node01,DoorOpened
2019-07-15 18:38:10,node01,DoorClosed
2019-07-15 18:38:14,node01,DoorOpened
2019-07-15 18:45:23,node01,DoorClosed
2019-07-15 19:46:52,node01,DoorOpened
2019-07-15 19:46:54,node01,DoorClosed
2019-07-15 20:33:26,node01,DoorOpened
2019-07-15 21:27:22,node01,DoorOpened
2019-07-15 21:28:45,node01,DoorClosed
2019-07-16 03:58:19,node01,DoorOpened
2019-07-16 03:59:59,node01,DoorClosed
